PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34194535","An Overview of Deep Learning Techniques on Chest X-Ray and CT Scan Identification of COVID-19","Serena Low WC, Chuah JH, Tee CATH, Anis S, Shoaib MA, Faisal A, Khalil A, Lai KW.","Comput Math Methods Med. 2021 Jun 4;2021:5528144. doi: 10.1155/2021/5528144. eCollection 2021.","Serena Low WC","Comput Math Methods Med","2021","2021/07/01","PMC8184329","","10.1155/2021/5528144"
"34188790","COVID-19 Diagnosis Using an Enhanced Inception-ResNetV2 Deep Learning Model in CXR Images","Alruwaili M, Shehab A, Abd El-Ghany S.","J Healthc Eng. 2021 Jun 3;2021:6658058. doi: 10.1155/2021/6658058. eCollection 2021.","Alruwaili M","J Healthc Eng","2021","2021/06/30","PMC8195634","","10.1155/2021/6658058"
"34159697","Evaluation of deep learning for COVID-19 diagnosis: Impact of image dataset organization","Kim GY, Kim JY, Kim CH, Kim SM.","J Appl Clin Med Phys. 2021 Jul;22(7):297-305. doi: 10.1002/acm2.13320. Epub 2021 Jun 23.","Kim GY","J Appl Clin Med Phys","2021","2021/06/23","PMC8292699","","10.1002/acm2.13320"
"34155883","On-Site Detection of SARS-CoV-2 Antigen by Deep Learning-Based Surface-Enhanced Raman Spectroscopy and Its Biochemical Foundations","Huang J, Wen J, Zhou M, Ni S, Le W, Chen G, Wei L, Zeng Y, Qi D, Pan M, Xu J, Wu Y, Li Z, Feng Y, Zhao Z, He Z, Li B, Zhao S, Zhang B, Xue P, He S, Fang K, Zhao Y, Du K.","Anal Chem. 2021 Jul 6;93(26):9174-9182. doi: 10.1021/acs.analchem.1c01061. Epub 2021 Jun 22.","Huang J","Anal Chem","2021","2021/06/22","PMC8247782","","10.1021/acs.analchem.1c01061"
"34150188","Artificial Intelligence and Medical Internet of Things Framework for Diagnosis of Coronavirus Suspected Cases","Iskanderani AI, Mehedi IM, Aljohani AJ, Shorfuzzaman M, Akther F, Palaniswamy T, Latif SA, Latif A, Alam A.","J Healthc Eng. 2021 May 28;2021:3277988. doi: 10.1155/2021/3277988. eCollection 2021.","Iskanderani AI","J Healthc Eng","2021","2021/06/21","PMC8197673","","10.1155/2021/3277988"
"34134940","Predicting Prolonged Hospitalization and Supplemental Oxygenation in Patients with COVID-19 Infection from Ambulatory Chest Radiographs using Deep Learning","Pyrros A, Flanders AE, Rodríguez-Fernández JM, Chen A, Cole P, Wenzke D, Hart E, Harford S, Horowitz J, Nikolaidis P, Muzaffar N, Boddipalli V, Nebhrajani J, Siddiqui N, Willis M, Darabi H, Koyejo O, Galanter W.","Acad Radiol. 2021 Aug;28(8):1151-1158. doi: 10.1016/j.acra.2021.05.002. Epub 2021 May 21.","Pyrros A","Acad Radiol","2021","2021/06/17","PMC8139280","","10.1016/j.acra.2021.05.002"
"34103587","Early assessment of lung function in coronavirus patients using invariant markers from chest X-rays images","Elsharkawy M, Sharafeldeen A, Taher F, Shalaby A, Soliman A, Mahmoud A, Ghazal M, Khalil A, Alghamdi NS, Razek AAKA, Alnaghy E, El-Melegy MT, Sandhu HS, Giridharan GA, El-Baz A.","Sci Rep. 2021 Jun 8;11(1):12095. doi: 10.1038/s41598-021-91305-0.","Elsharkawy M","Sci Rep","2021","2021/06/09","PMC8187631","","10.1038/s41598-021-91305-0"
"34101042","Deep Learning on Chest X-ray Images to Detect and Evaluate Pneumonia Cases at the Era of COVID-19","Hammoudi K, Benhabiles H, Melkemi M, Dornaika F, Arganda-Carreras I, Collard D, Scherpereel A.","J Med Syst. 2021 Jun 8;45(7):75. doi: 10.1007/s10916-021-01745-4.","Hammoudi K","J Med Syst","2021","2021/06/08","PMC8185498","","10.1007/s10916-021-01745-4"
"34097708","COVID-19 pneumonia on chest X-rays: Performance of a deep learning-based computer-aided detection system","Hwang EJ, Kim KB, Kim JY, Lim JK, Nam JG, Choi H, Kim H, Yoon SH, Goo JM, Park CM.","PLoS One. 2021 Jun 7;16(6):e0252440. doi: 10.1371/journal.pone.0252440. eCollection 2021.","Hwang EJ","PLoS One","2021","2021/06/07","PMC8184006","","10.1371/journal.pone.0252440"
"34081193","Covid-19 Imaging Tools: How Big Data is Big?","Santosh KC, Ghosh S.","J Med Syst. 2021 Jun 3;45(7):71. doi: 10.1007/s10916-021-01747-2.","Santosh KC","J Med Syst","2021","2021/06/03","PMC8173860","","10.1007/s10916-021-01747-2"
"34077435","Proof of concept for real-time detection of SARS CoV-2 infection with an electronic nose","Snitz K, Andelman-Gur M, Pinchover L, Weissgross R, Weissbrod A, Mishor E, Zoller R, Linetsky V, Medhanie A, Shushan S, Jaffe E, Sobel N.","PLoS One. 2021 Jun 2;16(6):e0252121. doi: 10.1371/journal.pone.0252121. eCollection 2021.","Snitz K","PLoS One","2021","2021/06/02","PMC8172018","","10.1371/journal.pone.0252121"
"34055034","Radiologists versus Deep Convolutional Neural Networks: A Comparative Study for Diagnosing COVID-19","Helwan A, Ma'aitah MKS, Hamdan H, Ozsahin DU, Tuncyurek O.","Comput Math Methods Med. 2021 May 10;2021:5527271. doi: 10.1155/2021/5527271. eCollection 2021.","Helwan A","Comput Math Methods Med","2021","2021/05/31","PMC8112196","","10.1155/2021/5527271"
"34051438","Deep learning for predicting COVID-19 malignant progression","Fang C, Bai S, Chen Q, Zhou Y, Xia L, Qin L, Gong S, Xie X, Zhou C, Tu D, Zhang C, Liu X, Chen W, Bai X, Torr PHS.","Med Image Anal. 2021 Aug;72:102096. doi: 10.1016/j.media.2021.102096. Epub 2021 May 12.","Fang C","Med Image Anal","2021","2021/05/29","PMC8112895","","10.1016/j.media.2021.102096"
"34050350","Pretraining model for biological sequence data","Song B, Li Z, Lin X, Wang J, Wang T, Fu X.","Brief Funct Genomics. 2021 Jun 9;20(3):181-195. doi: 10.1093/bfgp/elab025.","Song B","Brief Funct Genomics","2021","2021/05/29","PMC8194843","","10.1093/bfgp/elab025"
"34045510","Toward understanding COVID-19 pneumonia: a deep-learning-based approach for severity analysis and monitoring the disease","Zandehshahvar M, van Assen M, Maleki H, Kiarashi Y, De Cecco CN, Adibi A.","Sci Rep. 2021 May 27;11(1):11112. doi: 10.1038/s41598-021-90411-3.","Zandehshahvar M","Sci Rep","2021","2021/05/28","PMC8159925","","10.1038/s41598-021-90411-3"
"34042760","DIAG a Diagnostic Web Application Based on Lung CT Scan Images and Deep Learning","Hadj Bouzid AI, Yahiaoui S, Lounis A, Berrani SA, Belbachir H, Naïli Q, Abdi MEH, Bensalah K, Belazzougui D.","Stud Health Technol Inform. 2021 May 27;281:332-336. doi: 10.3233/SHTI210175.","Hadj Bouzid AI","Stud Health Technol Inform","2021","2021/05/27","","","10.3233/SHTI210175"
"34042688","Deep Learning Methods to Predict Mortality in COVID-19 Patients: A Rapid Scoping Review","Syed M, Syed S, Sexton K, Greer ML, Zozus M, Bhattacharyya S, Syed F, Prior F.","Stud Health Technol Inform. 2021 May 27;281:799-803. doi: 10.3233/SHTI210285.","Syed M","Stud Health Technol Inform","2021","2021/05/27","","","10.3233/SHTI210285"
"34042629","COVID-19 Image Segmentation Based on Deep Learning and Ensemble Learning","Meyer P, Müller D, Soto-Rey I, Kramer F.","Stud Health Technol Inform. 2021 May 27;281:518-519. doi: 10.3233/SHTI210223.","Meyer P","Stud Health Technol Inform","2021","2021/05/27","","","10.3233/SHTI210223"
"34038371","4S-DT: Self-Supervised Super Sample Decomposition for Transfer Learning With Application to COVID-19 Detection","Abbas A, Abdelsamea MM, Gaber MM.","IEEE Trans Neural Netw Learn Syst. 2021 Jul;32(7):2798-2808. doi: 10.1109/TNNLS.2021.3082015. Epub 2021 Jul 6.","Abbas A","IEEE Trans Neural Netw Learn Syst","2021","2021/05/26","","","10.1109/TNNLS.2021.3082015"
"34034715","Classification of COVID-19 electrocardiograms by using hexaxial feature mapping and deep learning","Ozdemir MA, Ozdemir GD, Guren O.","BMC Med Inform Decis Mak. 2021 May 25;21(1):170. doi: 10.1186/s12911-021-01521-x.","Ozdemir MA","BMC Med Inform Decis Mak","2021","2021/05/26","PMC8146190","","10.1186/s12911-021-01521-x"
"34033549","Attention-RefNet: Interactive Attention Refinement Network for Infected Area Segmentation of COVID-19","Kitrungrotsakul T, Chen Q, Wu H, Iwamoto Y, Hu H, Zhu W, Chen C, Xu F, Zhou Y, Lin L, Tong R, Li J, Chen YW.","IEEE J Biomed Health Inform. 2021 Jul;25(7):2363-2373. doi: 10.1109/JBHI.2021.3082527. Epub 2021 Jul 27.","Kitrungrotsakul T","IEEE J Biomed Health Inform","2021","2021/05/25","","","10.1109/JBHI.2021.3082527"
"34010794","Deep learning model for distinguishing novel coronavirus from other chest related infections in X-ray images","Ahmad F, Ghani Khan MU, Javed K.","Comput Biol Med. 2021 Jul;134:104401. doi: 10.1016/j.compbiomed.2021.104401. Epub 2021 Apr 21.","Ahmad F","Comput Biol Med","2021","2021/05/19","PMC8058056","","10.1016/j.compbiomed.2021.104401"
"33988579","Digital holographic deep learning of red blood cells for field-portable, rapid COVID-19 screening","O'Connor T, Shen JB, Liang BT, Javidi B.","Opt Lett. 2021 May 15;46(10):2344-2347. doi: 10.1364/OL.426152.","O'Connor T","Opt Lett","2021","2021/05/14","","","10.1364/OL.426152"
"33984043","Deep reinforcement learning approaches for global public health strategies for COVID-19 pandemic","Kwak GH, Ling L, Hui P.","PLoS One. 2021 May 13;16(5):e0251550. doi: 10.1371/journal.pone.0251550. eCollection 2021.","Kwak GH","PLoS One","2021","2021/05/13","PMC8118301","","10.1371/journal.pone.0251550"
"33979791","Segmenting lung lesions of COVID-19 from CT images via pyramid pooling improved Unet","Ma Y, Feng P, He P, Ren Y, Guo X, Yu X, Wei B.","Biomed Phys Eng Express. 2021 May 20;7(4). doi: 10.1088/2057-1976/ac008a.","Ma Y","Biomed Phys Eng Express","2021","2021/05/12","","","10.1088/2057-1976/ac008a"
"33974652","COVID-19 diagnosis from CT scans and chest X-ray images using low-cost Raspberry Pi","Hosny KM, Darwish MM, Li K, Salah A.","PLoS One. 2021 May 11;16(5):e0250688. doi: 10.1371/journal.pone.0250688. eCollection 2021.","Hosny KM","PLoS One","2021","2021/05/11","PMC8112662","","10.1371/journal.pone.0250688"
"33971427","Classification of COVID-19 chest X-Ray and CT images using a type of dynamic CNN modification method","Jia G, Lam HK, Xu Y.","Comput Biol Med. 2021 Jul;134:104425. doi: 10.1016/j.compbiomed.2021.104425. Epub 2021 Apr 29.","Jia G","Comput Biol Med","2021","2021/05/10","PMC8081579","","10.1016/j.compbiomed.2021.104425"
"33968356","Computed Tomography Image Processing Analysis in COVID-19 Patient Follow-Up Assessment","Tello-Mijares S, Woo L.","J Healthc Eng. 2021 Apr 29;2021:8869372. doi: 10.1155/2021/8869372. eCollection 2021.","Tello-Mijares S","J Healthc Eng","2021","2021/05/10","PMC8083830","","10.1155/2021/8869372"
"33968160","Pneumonia Detection Using an Improved Algorithm Based on Faster R-CNN","Yao S, Chen Y, Tian X, Jiang R.","Comput Math Methods Med. 2021 Apr 21;2021:8854892. doi: 10.1155/2021/8854892. eCollection 2021.","Yao S","Comput Math Methods Med","2021","2021/05/10","PMC8081632","","10.1155/2021/8854892"
"33965836","FBSED based automatic diagnosis of COVID-19 using X-ray and CT images","Chaudhary PK, Pachori RB.","Comput Biol Med. 2021 Jul;134:104454. doi: 10.1016/j.compbiomed.2021.104454. Epub 2021 May 2.","Chaudhary PK","Comput Biol Med","2021","2021/05/09","PMC8088544","","10.1016/j.compbiomed.2021.104454"
"33961635","ai-corona: Radiologist-assistant deep learning framework for COVID-19 diagnosis in chest CT scans","Yousefzadeh M, Esfahanian P, Movahed SMS, Gorgin S, Rahmati D, Abedini A, Nadji SA, Haseli S, Bakhshayesh Karam M, Kiani A, Hoseinyazdi M, Roshandel J, Lashgari R.","PLoS One. 2021 May 7;16(5):e0250952. doi: 10.1371/journal.pone.0250952. eCollection 2021.","Yousefzadeh M","PLoS One","2021","2021/05/07","PMC8104381","","10.1371/journal.pone.0250952"
"33961583","Addressing Biodisaster X Threats With Artificial Intelligence and 6G Technologies: Literature Review and Critical Insights","Su Z, McDonnell D, Bentley BL, He J, Shi F, Cheshmehzangi A, Ahmad J, Jia P.","J Med Internet Res. 2021 May 25;23(5):e26109. doi: 10.2196/26109.","Su Z","J Med Internet Res","2021","2021/05/07","PMC8153034","","10.2196/26109"
"33957343","LBP-based information assisted intelligent system for COVID-19 identification","Maheshwari S, Sharma RR, Kumar M.","Comput Biol Med. 2021 Jul;134:104453. doi: 10.1016/j.compbiomed.2021.104453. Epub 2021 May 1.","Maheshwari S","Comput Biol Med","2021","2021/05/06","PMC8087862","","10.1016/j.compbiomed.2021.104453"
"33954175","Lung Infection Segmentation for COVID-19 Pneumonia Based on a Cascade Convolutional Network from CT Images","Ranjbarzadeh R, Jafarzadeh Ghoushchi S, Bendechache M, Amirabadi A, Ab Rahman MN, Baseri Saadi S, Aghamohammadi A, Kooshki Forooshani M.","Biomed Res Int. 2021 Apr 15;2021:5544742. doi: 10.1155/2021/5544742. eCollection 2021.","Ranjbarzadeh R","Biomed Res Int","2021","2021/05/06","PMC8054863","","10.1155/2021/5544742"
"33936577","Classification of COVID-19 Chest CT Images Based on Ensemble Deep Learning","Li X, Tan W, Liu P, Zhou Q, Yang J.","J Healthc Eng. 2021 Apr 20;2021:5528441. doi: 10.1155/2021/5528441. eCollection 2021.","Li X","J Healthc Eng","2021","2021/05/03","PMC8061232","","10.1155/2021/5528441"
"33932751","CT-Based COVID-19 triage: Deep multitask learning improves joint identification and severity quantification","Goncharov M, Pisov M, Shevtsov A, Shirokikh B, Kurmukov A, Blokhin I, Chernina V, Solovev A, Gombolevskiy V, Morozov S, Belyaev M.","Med Image Anal. 2021 Jul;71:102054. doi: 10.1016/j.media.2021.102054. Epub 2021 Apr 1.","Goncharov M","Med Image Anal","2021","2021/05/01","PMC8015379","","10.1016/j.media.2021.102054"
"33930734","Evaluation of deep learning approaches for identification of different corona-virus species and time series prediction","Younis MC.","Comput Med Imaging Graph. 2021 Jun;90:101921. doi: 10.1016/j.compmedimag.2021.101921. Epub 2021 Apr 23.","Younis MC","Comput Med Imaging Graph","2021","2021/04/30","PMC8062905","","10.1016/j.compmedimag.2021.101921"
"33918368","Deep Transfer Learning Approach for Automatic Recognition of Drug Toxicity and Inhibition of SARS-CoV-2","Werner J, Kronberg RM, Stachura P, Ostermann PN, Müller L, Schaal H, Bhatia S, Kather JN, Borkhardt A, Pandyra AA, Lang KS, Lang PA.","Viruses. 2021 Apr 2;13(4):610. doi: 10.3390/v13040610.","Werner J","Viruses","2021","2021/04/30","PMC8066066","","10.3390/v13040610"
"33915272","Comparative study of machine learning methods for COVID-19 transmission forecasting","Dairi A, Harrou F, Zeroual A, Hittawe MM, Sun Y.","J Biomed Inform. 2021 Jun;118:103791. doi: 10.1016/j.jbi.2021.103791. Epub 2021 Apr 26.","Dairi A","J Biomed Inform","2021","2021/04/29","PMC8074522","","10.1016/j.jbi.2021.103791"
"33905341","A Deep Learning Radiomics Model to Identify Poor Outcome in COVID-19 Patients With Underlying Health Conditions: A Multicenter Study","Wang S, Dong D, Li L, Li H, Bai Y, Hu Y, Huang Y, Yu X, Liu S, Qiu X, Lu L, Wang M, Zha Y, Tian J.","IEEE J Biomed Health Inform. 2021 Jul;25(7):2353-2362. doi: 10.1109/JBHI.2021.3076086. Epub 2021 Jul 27.","Wang S","IEEE J Biomed Health Inform","2021","2021/04/27","","","10.1109/JBHI.2021.3076086"
"33900932","A COVID-19 Pandemic Artificial Intelligence-Based System With Deep Learning Forecasting and Automatic Statistical Data Acquisition: Development and Implementation Study","Yu CS, Chang SS, Chang TH, Wu JL, Lin YJ, Chien HF, Chen RJ.","J Med Internet Res. 2021 May 20;23(5):e27806. doi: 10.2196/27806.","Yu CS","J Med Internet Res","2021","2021/04/26","PMC8139395","","10.2196/27806"
"33898386","Determinants of Tourism Stocks During the COVID-19: Evidence From the Deep Learning Models","Pan WT, Huang QY, Yang ZY, Zhu FY, Pang YN, Zhuang ME.","Front Public Health. 2021 Apr 9;9:675801. doi: 10.3389/fpubh.2021.675801. eCollection 2021.","Pan WT","Front Public Health","2021","2021/04/26","PMC8062709","","10.3389/fpubh.2021.675801"
"33892307","DenseCapsNet: Detection of COVID-19 from X-ray images using a capsule neural network","Quan H, Xu X, Zheng T, Li Z, Zhao M, Cui X.","Comput Biol Med. 2021 Jun;133:104399. doi: 10.1016/j.compbiomed.2021.104399. Epub 2021 Apr 15.","Quan H","Comput Biol Med","2021","2021/04/23","PMC8049190","","10.1016/j.compbiomed.2021.104399"
"33882012","Medical Specialty Recommendations by an Artificial Intelligence Chatbot on a Smartphone: Development and Deployment","Lee H, Kang J, Yeo J.","J Med Internet Res. 2021 May 6;23(5):e27460. doi: 10.2196/27460.","Lee H","J Med Internet Res","2021","2021/04/21","PMC8104000","","10.2196/27460"
"33882010","COVID-19 Automatic Diagnosis With Radiographic Imaging: Explainable Attention Transfer Deep Neural Networks","Shi W, Tong L, Zhu Y, Wang MD.","IEEE J Biomed Health Inform. 2021 Jul;25(7):2376-2387. doi: 10.1109/JBHI.2021.3074893. Epub 2021 Jul 27.","Shi W","IEEE J Biomed Health Inform","2021","2021/04/21","","","10.1109/JBHI.2021.3074893"
"33873177","Modelling dynamics of coronavirus disease 2019 spread for pandemic forecasting based on Simulink","Liu XX, Hu S, Fong SJ, Crespo RG, Herrera-Viedma E.","Phys Biol. 2021 May 28;18(4). doi: 10.1088/1478-3975/abf990.","Liu XX","Phys Biol","2021","2021/04/19","","","10.1088/1478-3975/abf990"
"33872157","Convolutional Sparse Support Estimator-Based COVID-19 Recognition From X-Ray Images","Yamac M, Ahishali M, Degerli A, Kiranyaz S, Chowdhury MEH, Gabbouj M.","IEEE Trans Neural Netw Learn Syst. 2021 May;32(5):1810-1820. doi: 10.1109/TNNLS.2021.3070467. Epub 2021 May 3.","Yamac M","IEEE Trans Neural Netw Learn Syst","2021","2021/04/19","","","10.1109/TNNLS.2021.3070467"
"33868398","A Deep Learning Approach for Table Tennis Forehand Stroke Evaluation System Using an IMU Sensor","Tabrizi SS, Pashazadeh S, Javani V.","Comput Intell Neurosci. 2021 Apr 9;2021:5584756. doi: 10.1155/2021/5584756. eCollection 2021.","Tabrizi SS","Comput Intell Neurosci","2021","2021/04/19","PMC8033526","","10.1155/2021/5584756"
"33866253","CovidXrayNet: Optimizing data augmentation and CNN hyperparameters for improved COVID-19 detection from CXR","Monshi MMA, Poon J, Chung V, Monshi FM.","Comput Biol Med. 2021 Jun;133:104375. doi: 10.1016/j.compbiomed.2021.104375. Epub 2021 Apr 15.","Monshi MMA","Comput Biol Med","2021","2021/04/18","PMC8048393","","10.1016/j.compbiomed.2021.104375"
"33862337","BS-Net: Learning COVID-19 pneumonia severity on a large chest X-ray dataset","Signoroni A, Savardi M, Benini S, Adami N, Leonardi R, Gibellini P, Vaccher F, Ravanelli M, Borghesi A, Maroldi R, Farina D.","Med Image Anal. 2021 Jul;71:102046. doi: 10.1016/j.media.2021.102046. Epub 2021 Mar 31.","Signoroni A","Med Image Anal","2021","2021/04/16","PMC8010334","","10.1016/j.media.2021.102046"
"33859385","A deep-learning pipeline for the diagnosis and discrimination of viral, non-viral and COVID-19 pneumonia from chest X-ray images","Wang G, Liu X, Shen J, Wang C, Li Z, Ye L, Wu X, Chen T, Wang K, Zhang X, Zhou Z, Yang J, Sang Y, Deng R, Liang W, Yu T, Gao M, Wang J, Yang Z, Cai H, Lu G, Zhang L, Yang L, Xu W, Wang W, Olvera A, Ziyar I, Zhang C, Li O, Liao W, Liu J, Chen W, Chen W, Shi J, Zheng L, Zhang L, Yan Z, Zou X, Lin G, Cao G, Lau LL, Mo L, Liang Y, Roberts M, Sala E, Schönlieb CB, Fok M, Lau JY, Xu T, He J, Zhang K, Li W, Lin T.","Nat Biomed Eng. 2021 Jun;5(6):509-521. doi: 10.1038/s41551-021-00704-1. Epub 2021 Apr 15.","Wang G","Nat Biomed Eng","2021","2021/04/16","PMC7611049","EMS118568","10.1038/s41551-021-00704-1"
"33853711","An Insight of the First Community Infected COVID-19 Patient in Beijing by Imported Case: Role of Deep Learning-Assisted CT Diagnosis","Li DS, Wang DW, Wang NN, Xu HW, Huang H, Dong JP, Xia C.","Chin Med Sci J. 2021 Mar 31;36(1):66-71. doi: 10.24920/003788.","Li DS","Chin Med Sci J","2021","2021/04/15","PMC8041135","","10.24920/003788"
"33848973","Deep Convolutional Neural Network-Based Computer-Aided Detection System for COVID-19 Using Multiple Lung Scans: Design and Implementation Study","Ghaderzadeh M, Asadi F, Jafari R, Bashash D, Abolghasemi H, Aria M.","J Med Internet Res. 2021 Apr 26;23(4):e27468. doi: 10.2196/27468.","Ghaderzadeh M","J Med Internet Res","2021","2021/04/13","PMC8078376","","10.2196/27468"
"33846041","A multi-center study of COVID-19 patient prognosis using deep learning-based CT image analysis and electronic health records","Gong K, Wu D, Arru CD, Homayounieh F, Neumark N, Guan J, Buch V, Kim K, Bizzo BC, Ren H, Tak WY, Park SY, Lee YR, Kang MK, Park JG, Carriero A, Saba L, Masjedi M, Talari H, Babaei R, Mobin HK, Ebrahimian S, Guo N, Digumarthy SR, Dayan I, Kalra MK, Li Q.","Eur J Radiol. 2021 Jun;139:109583. doi: 10.1016/j.ejrad.2021.109583. Epub 2021 Feb 5.","Gong K","Eur J Radiol","2021","2021/04/13","PMC7863774","","10.1016/j.ejrad.2021.109583"
"33835928","Multilevel Deep-Aggregated Boosted Network to Recognize COVID-19 Infection from Large-Scale Heterogeneous Radiographic Data","Owais M, Lee YW, Mahmood T, Haider A, Sultan H, Park KR.","IEEE J Biomed Health Inform. 2021 Jun;25(6):1881-1891. doi: 10.1109/JBHI.2021.3072076. Epub 2021 Jun 3.","Owais M","IEEE J Biomed Health Inform","2021","2021/04/09","","","10.1109/JBHI.2021.3072076"
"33810066","A Few-Shot U-Net Deep Learning Model for COVID-19 Infected Area Segmentation in CT Images","Voulodimos A, Protopapadakis E, Katsamenis I, Doulamis A, Doulamis N.","Sensors (Basel). 2021 Mar 22;21(6):2215. doi: 10.3390/s21062215.","Voulodimos A","Sensors (Basel)","2021","2021/04/03","PMC8004971","","10.3390/s21062215"
"33810011","Deep Learning for Novel Antimicrobial Peptide Design","Wang C, Garlick S, Zloh M.","Biomolecules. 2021 Mar 22;11(3):471. doi: 10.3390/biom11030471.","Wang C","Biomolecules","2021","2021/04/03","PMC8004669","","10.3390/biom11030471"
